Athlete_ID,Gender,Name,Nationality
591,F,Louise Taylor,United States
592,F,Mabel Taylor,United States
593,M,Archie Hahn,United States
594,M,Bill Hogenson,United States
595,M,Fay Moulton,United States
596,M,Nate Cartmell,United States
597,M,Harry Hillman,United States
598,M,Frank Waller,United States
599,M,Herman Groman,United States
600,M,James Lightbody,United States
601,M,Howard Valentine,United States
602,M,Emil Breitkreutz,United States
603,M,William Verner,United States
604,M,Lacey Hearn,United States
605,M,John Daly,Great Britain
606,M,Arthur Newton,United States
607,M,Thomas Hicks,United States
608,M,Albert Coray,United States
609,M,Frederick Schule,United States
610,M,Thaddeus Shideler,United States
611,M,Lesley Ashburner,United States
612,M,Frank Castleman,United States
613,M,George Poage,United States
614,M,David Munson,United States
615,M,Paul Pilgrim,United States
616,M,George Underwood,United States
617,M,Sidney Hatch,United States
618,M,Albert Coray,France
619,M,Frank Verner,United States
620,M,Sam Jones,United States
621,M,Garrett Serviss,United States
622,M,Paul Weinstein,Germany
623,M,Joseph Stadler,United States
624,M,Lawson Robertson,United States
625,M,Daniel Frank,United States
626,M,Robert Stangland,United States
627,M,Charles King,United States
628,M,John Biller,United States
629,M,Charles Dvorak,United States
630,M,Leroy Samse,United States
631,M,Louis Wilkins,United States
632,M,Fred Englehardt,United States
633,M,Étienne Desmarteau,Canada
634,M,James Mitchel,United States
635,M,Martin Sheridan,United States
636,M,Ralph Rose,United States
637,M,Nicolaos Georgantas,Greece
638,M,John DeWitt,United States
639,M,Wesley Coe,United States
640,M,Leon Feuerbach,United States
641,M,Max Emmerich,United States
642,M,John Grieb,United States
643,M,William Merz,United States
644,M,Tom Kiely,Great Britain
645,M,Adam Gunn,United States
646,M,George Finnegan,United States
647,M,Miles Burke,United States
648,M,Oliver Kirk,United States
649,M,Frank Haller,United States
650,M,Fred Gilmore,United States
651,M,Harry Spanger,United States
652,M,Jack Eagan,United States
653,M,Russell Van Horn,United States
654,M,Albert Young,United States
655,M,Joseph Lydon,United States
656,M,Charles Mayer,United States
657,M,Benjamin Spradley,United States
658,M,Samuel Berger,United States
659,M,William Michaels,United States
660,M,Marcus Hurley,United States
661,M,Burton Downing,United States
662,M,Teddy Billington,United States
663,M,Oscar Goerke,United States
664,M,A. F. Andrews,United States
665,M,George Wiley,United States
666,M,Charles Schlee,United States
667,M,George Sheldon,United States
668,M,Georg Hoffmann,Germany
669,M,Frank Kehoe,United States
670,M,Alfred Braunschweiger,Germany
671,M,William Dickey,United States
672,M,Edgar Adams,United States
673,M,Leo Goodwin,United States
674,M,Albertson van Zo Post,Cuba
675,M,Charles Tatham,Cuba
676,M,Manuel Diaz,Cuba
677,M,Albertson van Zo Post,United States
678,M,Arthur Fox,United States
679,M,Charles Tatham,United States
680,M,Samuel George Fitzhugh Townsend,United States
681,M,William Grebe,United States
682,M,William O'Connor,United States
683,M,Tom Taylor,Canada
684,M,William Twaits,Canada
685,M,Fred Steep,Canada
686,M,George Ducker,Canada
687,M,Alex Hall,Canada
688,M,John Fraser,Canada
689,M,John Gourlay,Canada
690,M,Ernest Linton,Canada
691,M,Robert Lane,Canada
692,M,Albert Johnson,Canada
693,M,Gordon McDonald,Canada
694,M,Charles Bartliff,United States
695,M,Warren Brittingham,United States
696,M,Oscar Brockmeyer,United States
697,M,Alexander Cudmore,United States
698,M,Peter Ratican,United States
699,M,Louis Menges,United States
700,M,Raymond Lawlor,United States
701,M,Charles January,United States
702,M,John January,United States
703,M,Thomas January,United States
704,M,Johnson,United States
705,M,Claude Jameson,United States
706,M,Henry Jameson,United States
707,M,Leo O'Connell,United States
708,M,Cormic Cosgrove,United States
709,M,George Cooke,United States
710,M,Thomas Cooke,United States
711,M,Martin Dooling,United States
712,M,Edward Dierkes,United States
713,M,Joseph Brady,United States
714,M,Frank Frost,United States
715,M,Harry Tate,United States
716,M,George Lyon,Canada
717,M,Chandler Egan,United States
718,M,Francis Newton,United States
719,M,Burt McKinnie,United States
720,M,Nathan Moore,United States
721,M,Ned Sawyer,United States
722,M,Mason Phelps,United States
723,M,Robert Hunter,United States
724,M,Walter Egan,United States
725,M,Kenneth Edwards,United States
726,M,Ned Cummins,United States
